ESTUDIANTE,promediohistorico,promedioasistencia,# de Semestre,Desertor
Estudiante 3,9.227142857142857,99.21428571428571,2,0
Estudiante 30,8.919285714285715,97.42857142857143,2,0
Estudiante 300,3.22,89.0,2,1
Estudiante 301,0.0,0.0,2,1
Estudiante 302,5.55,96.0,2,1
Estudiante 303,5.71,96.0,2,1
Estudiante 304,0.0,0.0,2,1
Estudiante 305,7.19,100.0,2,1
Estudiante 306,7.83,96.0,2,1
Estudiante 307,0.0,0.0,2,1
Estudiante 308,5.06,67.0,2,1
Estudiante 309,7.51,100.0,2,1
Estudiante 31,0.0,0.0,1,1
Estudiante 310,7.49,92.0,2,1
Estudiante 311,0.0,0.0,2,1
Estudiante 312,6.7,86.0,2,1
Estudiante 313,6.76,100.0,2,1
Estudiante 314,8.3,100.0,2,1
Estudiante 315,7.61,96.0,2,1
Estudiante 316,7.71,96.0,2,1
Estudiante 317,0.0,0.0,2,1
Estudiante 318,7.96,96.0,2,1
Estudiante 319,6.08,96.0,2,1
Estudiante 32,8.433333333333334,97.53333333333333,2,0
Estudiante 320,7.85,96.0,2,1
Estudiante 321,7.02,96.0,2,1
Estudiante 322,7.38,100.0,2,1
Estudiante 323,0.21,0.0,2,1
Estudiante 324,8.43,96.71428571428571,1,0
Estudiante 325,4.121428571428571,70.28571428571429,1,0
Estudiante 326,9.15625,100.0,1,0
Estudiante 327,9.481428571428571,100.0,1,0
Estudiante 328,8.48,97.42857142857143,1,0
Estudiante 329,7.75625,92.25,1,0
Estudiante 33,8.37,96.1875,2,0
Estudiante 330,0.7614285714285715,0.0,1,1
Estudiante 331,6.1975,69.5,1,1
Estudiante 332,7.808571428571428,92.14285714285714,1,0
Estudiante 333,9.521428571428572,98.85714285714286,1,0
Estudiante 334,8.912857142857144,96.71428571428571,1,0
Estudiante 335,8.837777777777777,94.44444444444444,2,0
Estudiante 336,7.70875,97.75,1,0
Estudiante 337,9.530000000000001,100.0,1,0
Estudiante 338,8.525714285714285,92.85714285714286,1,0
Estudiante 339,9.345,98.25,1,0
Estudiante 34,1.1114285714285714,23.071428571428573,1,1
Estudiante 340,9.116666666666667,98.77777777777777,2,0
Estudiante 341,9.015714285714285,92.71428571428571,1,0
Estudiante 342,8.622222222222222,96.88888888888889,2,0
Estudiante 343,8.790000000000001,97.42857142857143,1,0
Estudiante 344,8.552222222222222,97.55555555555556,2,0
Estudiante 345,9.004285714285714,98.28571428571429,1,0
Estudiante 346,9.0775,97.75,1,0
Estudiante 347,8.85,94.71428571428571,1,0
Estudiante 348,8.992857142857144,98.57142857142857,1,0
Estudiante 349,0.17142857142857143,0.0,1,1
Estudiante 35,5.771818181818182,64.81818181818181,2,1
Estudiante 350,8.702857142857143,95.71428571428571,1,0
Estudiante 351,8.588571428571429,92.42857142857143,1,0
Estudiante 352,9.09142857142857,99.57142857142857,1,0
Estudiante 353,3.037142857142857,22.428571428571427,1,1
Estudiante 354,8.2025,79.5,1,0
Estudiante 355,9.145714285714286,99.0,1,0
Estudiante 356,8.636666666666667,99.66666666666667,2,0
Estudiante 357,8.525714285714285,93.0,1,0
Estudiante 358,9.284285714285716,98.57142857142857,1,0
Estudiante 359,8.884285714285713,97.42857142857143,1,0
Estudiante 36,8.858666666666666,97.4,2,0
Estudiante 360,9.051428571428572,99.0,1,0
Estudiante 361,9.49625,100.0,1,0
Estudiante 362,9.138571428571428,100.0,1,0
Estudiante 363,9.222857142857142,100.0,1,0
Estudiante 364,9.355714285714287,99.42857142857143,1,0
Estudiante 365,9.366666666666667,98.44444444444444,2,0
Estudiante 366,9.272857142857143,97.42857142857143,1,0
Estudiante 367,9.275714285714287,97.57142857142857,1,0
Estudiante 368,1.5085714285714287,12.571428571428571,1,1
Estudiante 369,8.324285714285713,94.85714285714286,1,0
Estudiante 37,8.949375,99.3125,2,0
Estudiante 370,8.7075,95.75,1,0
Estudiante 371,9.65375,100.0,1,0
Estudiante 372,9.47,98.0,1,0
Estudiante 373,9.351428571428572,99.57142857142857,1,0
Estudiante 374,8.477142857142857,99.14285714285714,1,0
Estudiante 375,8.153333333333332,90.11111111111111,2,0
Estudiante 376,8.94111111111111,99.66666666666667,2,0
Estudiante 377,8.91,99.625,1,0
Estudiante 378,8.452222222222222,98.88888888888889,2,0
Estudiante 379,8.790000000000001,99.25,1,0
Estudiante 38,4.812307692307693,67.53846153846153,2,1
Estudiante 380,9.08,100.0,1,0
Estudiante 381,7.546666666666667,96.83333333333333,1,0
Estudiante 382,4.58,56.46666666666667,1,1
Estudiante 383,8.5025,98.5,1,0
Estudiante 384,7.767142857142857,91.85714285714286,1,0
Estudiante 385,8.465714285714286,97.42857142857143,1,0
Estudiante 386,5.9557142857142855,70.28571428571429,1,0
Estudiante 387,9.04375,99.5,1,0
